movieID	movieTitle	genres	rating
462	Place Vendôme (1998)	Crime, Drama	6.5
463	Det nya landet (2000)	Comedy, Drama	7.5
464	Entelköy Efeköy'e Karsi (2011)	Comedy	6.7
465	The Banger Sisters (2002)	Comedy, Drama	5.6
466	The Last Supper (1996)	Drama	7.2
467	Oasiseu (2002)	Drama, Romance	8
468	Home and Away (2002)	Comedy, Drama	6.8
469	Sous les bombes (2008)	Drama, Romance, War	7.1
470	Sherdil (1999)	Family	3.9
471	Beur sur la ville (2011)	Comedy, Crime	4.7
472	Broker (2010)	Crime	NO DATA
473	El rey de la montaña (2008)	Thriller	6.2
474	Unnaturally Born Killers (1996)	Horror	2.1
475	Zei gong zi (2000)	Action	5
476	Wszystko bedzie dobrze (2007)	Drama	7.2
477	Nubes de verano (2004)	Comedy, Drama	6.9
478	Organize Isler (2005)	Comedy, Drama	7.4
479	Colors of Women (2011)	Drama, Short	8
480	The Last Word (2008)	Comedy, Drama	5.7
481	Ggotpineun bomi omyeon (2004)	Drama	7.1
482	The Wizard of Gore (2007)	Horror	5.5
483	Üvegtigris 3. (2010)	Comedy	6.5
484	Jin chou fu lu shou (2011)	Comedy	5.2
485	Ishq (1997)	Action, Comedy, Drama	6.9
486	World's Toughest Driving Tests (2010)	Documentary	7.6
487	Jackhammer (2014)	Horror	3.3
488	Sau jok ying wa (2006)	News	NO DATA
489	Aimer, boire et chanter (2014)	NO DATA	NO DATA
490	The Trial (2010)	Drama, Thriller	6
491	The Badger Game (2014)	Comedy, Family	8
492	Le nèg' (2004)	Drama	7.2
493	Stay (2013)	Drama, Mystery, Thriller	6.9
494	Paul Is Dead (2000)	Drama	7.3
495	El Sicario, Room 164 (2011)	NO DATA	NO DATA
496	Onibi (1997)	NO DATA	8.4
